"content_id","game_id","content","type","rumored","homophobia","transphobia","queer_men","queer_women","char_sexuality","char_gender","char_role","human","char_race","actions","optional_relationships","bisexual_workers"
"1300","7649","lilith","characters","yes","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
"1301","7650","link","characters","yes","unknown","unknown","no","no","nan","nan","pc","nan","race indeterminate","nan","nan","nan"
"1302","7651","lloyd","characters","unknown","unknown","unknown","yes","no","bisexual implicit","transgender woman explicit","pc","yes","white","nan","yes","nan"
"1303","7651","lloyd","characters","unknown","unknown","unknown","yes","no","bisexual implicit","nan","npc","nan","nan","nan","nan","nan"
"1304","7615","lucius","characters","unknown","unknown","unknown","yes","no","gay implicit","nan","pc","yes","white","nan","yes","nan"
"1305","7615","lyn","characters","unknown","unknown","unknown","no","yes","lesbian implicit","nan","pc","yes","white","nan","yes","nan"
"1306","7632","magimel brothers","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
"1307","7632","magimel brothers","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","yes","race indeterminate","nan","nan","nan"
"1308","7652","makoto","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
"1309","7653","makoto","characters","unknown","unknown","unknown","no","yes","bisexual implicit","nan","pc","nan","nan","nan","nan","nan"
"1310","7654","marian","nan","unknown","unknown","unknown","yes","no","gay explicit","gender non-conforming","npc","nan","nan","nan","nan","nan"
"1311","7655","meiyuan","characters","unknown","unknown","unknown","yes","no","gay explicit","transgender woman explicit","npc","yes","asian","nan","nan","nan"
"1312","7655","meiyuan","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","npc","nan","nan","nan","nan","nan"
"1313","7656","michael doi","characters","unknown","unknown","unknown","yes","no","gay explicit","nan","pc","yes","white","nan","nan","nan"
"1314","7606","midnight bliss","actions","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","combat","nan","nan"
"1315","7657","mikleo","characters","unknown","unknown","unknown","no","no","nan","nan","npc","nan","nan","nan","nan","nan"
